"","EVTYPE"
"825","WIND AND WAVE"
"826","LIGHT FREEZING RAIN"
"827"," WIND"
"828","RECORD PRECIPITATION"
"829","ICE ROADS"
"830","ROUGH SEAS"
"831","UNSEASONABLY WARM/WET"
"832","UNSEASONABLY COOL & WET"
"833","UNUSUALLY WARM"
"834","TSTM WIND G45"
"835","NON SEVERE HAIL"
"836","NON-SEVERE WIND DAMAGE"
"837","UNUSUALLY COLD"
"838","WARM WEATHER"
"839","THUNDERSTORM WIND (G40)"
"840","UNSEASONABLY WARM & WET"
"841"," FLASH FLOOD"
"842","LOCALLY HEAVY RAIN"
"843","WIND GUSTS"
"844","UNSEASONAL LOW TEMP"
"845","HIGH SURF ADVISORY"
"846","LATE SEASON SNOW"
"847","GUSTY LAKE WIND"
"848","ABNORMALLY DRY"
"849","WINTER WEATHER MIX"
"850","RED FLAG CRITERIA"
"851","WND"
"852","CSTL FLOODING/EROSION"
"853","SMOKE"
"854"," WATERSPOUT"
"855","SNOW ADVISORY"
"856","EXTREMELY WET"
"857","UNUSUALLY LATE SNOW"
"858","VERY DRY"
"859","RECORD LOW RAINFALL"
"860","ROGUE WAVE"
"861","PROLONG WARMTH"
"862","ACCUMULATED SNOWFALL"
"863","FALLING SNOW/ICE"
"864","DUST DEVEL"
"865","NON-TSTM WIND"
"866","NON TSTM WIND"
"867","GUSTY THUNDERSTORM WINDS"
"868","PATCHY ICE"
"869","HEAVY RAIN EFFECTS"
"870","EXCESSIVE HEAT/DROUGHT"
"871","NORTHERN LIGHTS"
"872","MARINE TSTM WIND"
"873","   HIGH SURF ADVISORY"
"874","HAZARDOUS SURF"
"875","WINTER WEATHER/MIX"
"876","ASTRONOMICAL HIGH TIDE"
"877","VERY WARM"
"878","ABNORMALLY WET"
"879","TORNADO DEBRIS"
"880","EXTREME COLD/WIND CHILL"
"881","ICE ON ROAD"
"882","DROWNING"
"883","GUSTY THUNDERSTORM WIND"
"884","MARINE HAIL"
"885","HIGH SURF ADVISORIES"
"886","HURRICANE/TYPHOON"
"887","HEAVY SURF/HIGH SURF"
"888","SLEET STORM"
"889","STORM SURGE/TIDE"
"890","COLD/WIND CHILL"
"891","MARINE HIGH WIND"
"892","TSUNAMI"
"893","DENSE SMOKE"
"894","LAKESHORE FLOOD"
"895","MARINE THUNDERSTORM WIND"
"896","MARINE STRONG WIND"
"897","ASTRONOMICAL LOW TIDE"
"898","VOLCANIC ASHFALL"
